2015-01-21 10:01:15.754|MSG05|Process VHT_Provider_Service.exe (PID 11236) RUNNING on JUBILEE|4|9
2015-01-21 10:01:15.755|MSG05|Service VHT_Provider RUNNING on JUBILEE. State Running|4|9
2015-01-21 10:01:15.978|MSG05|Process VHT_OperationModeService.exe (PID 7912) RUNNING on JUBILEE|4|9
2015-01-21 10:01:15.979|MSG05|Service VHT_OperationModeServer RUNNING on JUBILEE. State Running|4|9
2015-01-21 10:01:16.197|MSG05|Process VHT_Message_Bus.exe (PID 6540) RUNNING on JUBILEE|4|9
2015-01-21 10:01:16.198|MSG05|Service VHT_Message_Bus RUNNING on JUBILEE. State Running|4|9
2015-01-21 10:01:16.418|MSG05|Process VHT_QueueManager_Service.exe (PID 9828) RUNNING on JUBILEE|4|9
2015-01-21 10:01:16.418|MSG05|Service VHT_QueueManager RUNNING on JUBILEE. State Running|4|9
2015-01-21 10:01:16.638|MSG05|Process VHT_ReportWriter.exe (PID 9568) RUNNING on JUBILEE|4|9
2015-01-21 10:01:16.639|MSG05|Service VHT_ReportWriter RUNNING on JUBILEE. State Running|4|9
2015-01-21 10:02:16.643|MSG05|ProgramMonitorThread polling programs running on JUBILEE|4|9
2015-01-21 10:02:16.869|MSG05|Process VHT_QWatch_Client_Service.exe (PID 8560) RUNNING on JUBILEE|4|9
2015-01-21 10:02:16.869|MSG05|Service VHT_QWatch_Client RUNNING on JUBILEE. State Running|4|9
2015-01-21 10:02:17.091|MSG05|Process VHT_GlobalCall_IVR_Service.exe (PID 8052) RUNNING on JUBILEE|4|9
2015-01-21 10:02:17.091|MSG05|Service VHT_GlobalCall_IVR RUNNING on JUBILEE. State Running|4|9
2015-01-21 10:02:17.314|MSG05|Process VHT_Provider_Service.exe (PID 11236) RUNNING on JUBILEE|4|9
2015-01-21 10:02:17.314|MSG05|Service VHT_Provider RUNNING on JUBILEE. State Running|4|9
